imdbID,content,date,director,leadActor,rotten_tomatoes_rating
0283431,"After an Afghanistan-born woman who lives in Canada receives a letter from her suicidal sister, she takes a perilous journey through Afghanistan to try to find her.",01 Feb 2002,Mohsen Makhmalbaf,"Nelofer Pazira, Hassan Tantai, Ike Ogut",89%
0259393,The relationships of four couples unravel after the discovery of a young woman's body in Lantana bush in suburban Sydney.,08 Mar 2002,Ray Lawrence,"Anthony LaPaglia, Geoffrey Rush, Rachael Blake",91%
0265666,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,04 Jan 2002,Wes Anderson,"Gene Hackman, Gwyneth Paltrow, Anjelica Huston",81%
0101452,A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals.,19 Jul 1991,Peter Hewitt,"Keanu Reeves, Alex Winter, William Sadler",56%
0090852,An obsessively punctual comprehensive school headmaster sets out to give an important speech at the annual Headmasters' Conference.,10 Oct 1986,Christopher Morahan,"John Cleese, Penny Leatherbarrow, Howard Lloyd-Lewis",80%
0088103,"Sheena grew up in the African wild, raised by a mystical witch woman. When her foster mother is framed for a murder Sheena is forced to flee, helped by her ability to talk to animals and her knowledge of the jungle.",17 Aug 1984,John Guillermin,"Tanya Roberts, Ted Wass, Donovan Scott",22%
0086346,"On a distant planet inhabited by mutants, two bounty-hunters race to rescue three Earth female captives from the clutches of an evil mutant warlord.",20 May 1983,Lamont Johnson,"Peter Strauss, Molly Ringwald, Ernie Hudson",29%
0094318,"The story of a shy boy who gets convinced by his parents to spend a few summer days in the mountains. So, he joins a group, and the vacation begins. Unfortunately, things turn out to be a little tough for our small friend.",10 Jul 1987,Jeff Bleckner,"Kevin Bacon, Sean Astin, Jonathan Ward",25%
0278488,"Two guys by the name of Silas and Jamal decided to one day smoke something magical, which eventually helps them to ace their college entrance exam.",21 Dec 2001,Jesse Dylan,"Method Man, Redman, Obba Babatundé",26%
0268397,An eight-year-old boy genius and his friends must rescue their parents after the adults are abducted by aliens.,21 Dec 2001,John A. Davis,"Debi Derryberry, Rob Paulsen, Megan Cavanagh",74%
0279889,"When Joe is beat up by a co-worker in front of his daughter on ""Bring Your Child To Work Day"", he decides to fight back.",21 Dec 2001,John Pasquin,"Tim Allen, Julie Bowen, Kelly Lynch",40%
0035423,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,25 Dec 2001,James Mangold,"Meg Ryan, Hugh Jackman, Liev Schreiber",52%
0120737,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,19 Dec 2001,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom",91%
0268995,"In 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son.",21 Dec 2001,Frank Darabont,"Jim Carrey, Martin Landau, Bob Balaban",42%
0268978,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",04 Jan 2002,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly",74%
